,Character_1,Character_2,Win_Probability
311,264,8089,1
312,5642,3053,-1
313,3069,2053,1
314,3197,3069,1
315,8327,8906,-1
316,11376,981,-1
317,109,7176,1
318,5992,6196,-1
319,2771,8344,1
320,4693,7836,1
321,5579,11036,1
322,2474,11912,1
323,8061,4693,-1
324,1532,4013,-1
325,909,9737,1
326,1280,11861,1
327,9566,11384,1
328,7803,4349,1
329,10122,4349,-1
330,8536,4349,-1
331,11539,7669,-1
332,5992,4376,-1
333,7677,12022,-1
334,4002,9623,-1
335,11518,8481,1
336,5138,4072,1
337,4349,10921,1
338,8943,11665,-1
339,3363,7890,1
340,11161,5670,-1
341,6502,9693,1
342,909,2537,-1
343,11675,5639,1
344,1711,11889,1
345,6987,8718,1
346,3271,4108,1
347,5138,7927,-1
348,4339,10122,1
349,4810,4349,-1
350,6415,11171,-1
351,3271,6394,0
352,11518,11304,1
353,11686,2504,1
354,11518,9071,-1
355,5397,5413,1
356,10764,8943,1
357,6145,8846,-1
358,4274,2075,1
359,413,2934,1
360,1280,981,-1
361,5675,8900,1
362,4693,6687,-1
363,10242,6585,1
364,11422,6234,1
365,6541,4693,1
366,3363,5623,1
367,7042,7677,1
368,6348,10197,-1
369,10242,5519,-1
370,6858,8949,1
371,7481,4346,-1
372,5802,2544,-1
373,6810,2544,-1
374,10444,8825,1
375,6234,10833,-1
376,9307,1907,0
377,7176,4072,-1
378,3493,4058,-1
379,57,5512,-1
380,909,10252,-1
381,57,2229,1
382,3209,9042,1
383,11539,6632,-1
384,11422,8064,1
385,4487,10611,1
386,5604,220,1
387,1803,6234,-1
388,11422,4076,1
389,2429,11827,1
390,8699,1238,-1
391,1703,9693,1
392,9600,5214,1
393,9313,57,-1
394,1439,2261,-1
395,8089,7176,1
396,6063,3493,1
397,11861,7176,1
398,9042,974,1
399,3990,6797,1
400,1276,4100,1
401,3440,9188,1
402,64,2286,0
403,6810,2198,-1
404,4894,122,0
405,264,3069,-1
406,4852,7836,-1
407,2544,11728,0
408,6827,2532,1
409,8392,489,-1
410,9222,6064,1
411,1703,3670,-1
412,6507,9767,-1
413,264,864,1
414,11147,3440,1
415,6064,1711,-1
416,4314,8943,1
417,10754,8943,1
418,10194,3197,1
419,8595,5536,1
420,3440,926,-1
421,9313,11518,1
422,8900,8819,-1
423,2617,10978,-1
424,9693,11403,-1
425,4228,11403,1
426,9283,8536,-1
427,2617,2532,-1
428,5637,12022,1
429,6862,6862,0
430,5397,619,1
431,6527,8368,-1
432,6415,1816,-1
433,4314,1816,1
434,2537,12022,1
435,6858,2104,-1
436,5579,2286,1
437,11422,11422,1
438,9552,37,1
439,4619,37,1
440,11422,7089,1
