Character_1,Character_2,Win_Probability
558,2677,1
1281,11603,1
11109,9994,1
11096,280,-1
558,2890,1
3277,9063,1
10299,7950,-1
1502,8247,1
11897,11879,1
7717,2184,-1
10498,881,-1
4264,4850,1
8714,7881,1
5904,4850,1
5988,10935,1
8398,5973,1
2888,10274,1
4869,5485,1
7942,6254,0
4702,11877,-1
9437,6212,0
3340,9060,-1
7567,4200,-1
9577,6870,0
5207,11368,1
4344,8901,-1
2945,5414,1
1502,10307,-1
9094,2755,-1
3340,11943,1
2900,4869,1
5414,7247,-1
4098,9730,1
8415,9730,1
3143,5882,1
1066,6189,1
4869,977,-1
7717,6093,1
2807,10910,-1
8086,8188,-1
8247,10207,-1
1832,10207,1
6316,8613,-1
8086,11368,-1
7762,10121,1
1199,1199,0
763,1490,1
6459,12033,-1
11274,10312,-1
4098,10312,1
9236,10121,1
177,168,-1
4687,6254,1
558,558,1
2480,1967,1
6938,1967,1
558,11254,1
4702,558,-1
558,2792,1
7717,6811,-1
6142,9428,1
1112,6324,-1
2888,1490,1
4869,1904,1
2770,11881,1
8757,9982,-1
6254,2657,-1
5339,5956,-1
10238,10207,1
5415,7287,1
4820,6454,1
2888,1904,-1
11880,9663,1
558,9383,-1
8086,473,-1
8757,8247,0
7743,1937,1
7826,11877,1
1298,4671,1
7881,6454,-1
6524,7585,-1
11430,11368,1
574,11274,-1
10935,7001,-1
6142,10126,-1
10274,2888,-1
519,7762,1
1851,10918,-1
10299,10325,-1
8247,6093,-1
11934,9993,1
5451,4203,1
4292,8379,1
4702,1055,-1
558,7743,1
10935,3922,-1
6775,10935,1
6887,5988,-1
6423,2457,1
7950,1357,1
574,3368,1
6423,3368,-1
1553,10238,-1
8109,7388,0
8613,10935,1
5548,11193,-1
4687,6887,-1
558,11193,-1
574,6138,0
7247,9063,1
5207,2340,1
10307,2890,1
6775,11910,-1
4656,3814,-1
1245,9250,1
8831,2219,-1
1745,6387,1
5922,5523,-1
4200,4098,1
184,1357,-1
7762,10207,-1
2873,11128,1
10735,4193,1
8093,11128,-1
4510,4046,-1
4292,1064,1
7985,10768,0
3340,4687,0
7762,6093,1
574,5956,-1
4448,746,-1
473,7832,1
2340,6423,1
6138,12045,-1
2184,3512,1
9457,6387,1
6423,4222,-1
4264,5882,1
7066,12045,1
169,2300,1
8714,3927,1
4292,9383,-1
11881,7153,1
8974,10207,1
1502,4850,-1
8107,9861,1
2883,2883,1
4702,1490,1
616,7826,1
8086,3381,-1
6459,1675,1
2883,2287,-1
4448,8098,-1
4448,5941,-1
11368,11368,1
6946,107,-1
4820,4069,-1
4448,9993,-1
9747,10971,-1
558,2617,-1
6354,7649,-1
5249,9298,-1
7274,1195,1
574,7292,-1
1764,11910,1
8107,2147,1
7649,1694,1
5485,1528,-1
5205,2770,1
8086,11368,-1
1281,7762,1
2084,6459,-1
7881,6316,1
9704,8086,1
1502,6093,1
5451,574,1
7821,9795,1
558,8188,-1
2873,6935,1
8757,2191,1
7762,8247,1
8107,1386,1
8613,1245,-1
5822,11619,-1
558,558,-1
7472,3465,1
11368,4721,1
9704,9704,1
473,5485,1
4780,616,-1
2770,5485,1
3277,977,1
2364,7066,1
4687,10994,-1
7894,6153,1
4869,1066,1
169,10663,-1
6721,6192,-1
8188,8604,-1
9894,10207,1
5548,11550,1
12045,2973,-1
11159,7619,-1
2358,2617,-1
4687,8931,-1
3277,6138,1
6140,7001,-1
2888,8086,1
7236,746,1
8974,9283,1
7717,8247,-1
5956,2430,1
2364,4200,-1
11813,2890,0
574,5556,1
574,4344,1
4344,8247,1
7881,11910,-1
4344,6142,1
7247,2617,-1
6454,4069,-1
3143,3750,-1
10035,10035,-1
8107,8796,-1
574,8247,1
9826,11943,-1
6775,9094,1
2885,7001,-1
1281,9795,-1
5451,4850,-1
6470,9741,1
4702,2041,1
1914,6316,-1
11880,9837,1
2834,7216,1
8974,10238,1
4014,1357,-1
5907,8427,1
1357,8901,-1
5872,6153,1
7894,11265,-1
8831,2184,-1
3143,553,1
3327,10935,1
11880,1498,-1
4869,3277,-1
4869,5205,1
8124,11368,1
5207,2364,1
558,1658,-1
10969,8492,1
2888,9730,-1
4292,616,-1
6008,9730,1
4869,9730,1
5956,5119,-1
4448,10481,-1
9730,3061,-1
9747,9577,-1
4208,4687,1
8757,11320,1
1386,6681,1
5988,6524,0
1009,5956,-1
2992,5640,0
5339,9060,1
5956,7247,-1
10849,4501,-1
4448,7894,1
8714,4200,-1
2340,473,1
9457,8109,1
4702,9060,1
12037,1553,-1
5956,10035,-1
8613,11274,-1
7717,4098,-1
2945,6811,1
6811,1055,1
558,2899,1
8757,11096,1
8086,3878,0
169,7001,-1
5207,4687,1
6454,8898,0
11897,6316,1
10203,5998,1
6134,580,1
10910,7072,1
4501,9372,-1
6316,6093,1
6316,6142,1
6524,8107,1
11921,4960,0
11128,3566,-1
10318,966,-1
10238,4122,1
5956,7001,0
8104,6254,1
9331,10274,-1
10299,6992,1
10299,6992,1
8974,8312,-1
6324,4083,1
6775,8312,1
5067,268,1
5067,5096,-1
4850,5096,1
4292,1064,1
8086,1064,1
10409,3242,-1
6831,2408,-1
9795,9457,0
6230,3935,-1
5849,8898,-1
2340,8898,-1
5336,8898,-1
9936,8898,0
11707,7236,-1
9521,7296,0
8757,1985,0
2480,1985,-1
6938,1985,1
9982,1985,-1
1281,3218,1
4504,1535,1
7274,1535,1
1195,1535,1
9245,1535,1
8757,1535,1
1535,2220,-1
10441,11760,-1
2147,2184,0
858,858,1
11881,9875,1
6142,2515,1
10207,2515,1
11331,4323,1
8757,169,1
8757,10274,1
1014,4966,1
5144,5265,-1
7567,268,1
1055,8912,1
4126,616,-1
8427,5383,-1
7274,655,1
1535,655,0
903,9116,0
11602,867,1
558,2184,1
558,6454,1
10299,6454,-1
5210,6454,-1
558,7001,1
404,7001,1
9060,903,-1
4850,10274,1
1281,699,1
6354,699,-1
7717,699,1
6093,6269,1
3741,6093,-1
10299,9952,1
2340,903,-1
11631,11535,1
9577,3666,1
903,6946,1
558,903,1
2364,11956,1
9331,2222,1
2222,9296,1
11128,1014,-1
9704,903,0
4264,903,1
5747,903,-1
2888,903,-1
4497,966,-1
4702,903,1
6887,7567,-1
2888,9283,-1
8086,4850,-1
8086,2364,-1
8086,8669,0
