Character_1,Character_2,Win_Probability
8614,7772,0
4535,9817,1
10035,161,1
2483,1940,1
3557,10904,-1
11880,7109,1
765,2244,-1
5984,765,1
2364,4148,1
3689,3817,1
3817,3817,-1
3629,6968,1
1521,1940,1
7773,1940,1
5415,1940,1
4186,1940,1
7826,1940,1
7462,1940,1
4460,1940,1
177,1940,1
11481,9817,1
1085,9817,1
10044,9817,1
4944,9817,1
5413,7109,1
2788,6371,1
8614,11548,1
7152,1500,0
11373,1500,-1
4460,7710,1
7462,7710,1
177,7710,1
177,7710,1
11910,1940,1
1088,161,-1
2364,161,1
217,161,-1
4264,161,1
7113,161,1
2790,161,-1
5830,161,1
6371,161,1
6301,161,-1
11880,161,1
1228,161,1
5306,161,-1
512,161,1
5413,777,1
7806,161,1
4014,161,-1
558,161,1
11548,161,1
8124,161,1
2069,161,1
161,5263,-1
10760,161,1
3872,161,-1
5235,161,-1
3418,161,-1
161,9054,1
3418,161,-1
7848,161,-1
7266,161,1
7247,161,1
1498,161,1
9817,777,1
3817,9817,-1
177,6371,1
1842,777,1
7826,6167,1
6167,3817,1
1842,3817,1
1842,4925,1
8714,5963,1
8714,7113,1
8714,7987,1
2604,11548,-1
8714,7495,1
11976,7987,1
10458,7575,1
8614,3046,0
8614,11106,-1
8614,2065,1
8614,930,-1
8614,9767,-1
11327,7772,-1
2062,7294,1
12028,5832,1
5356,7495,1
4477,3351,-1
10332,256,0
4460,3942,1
10458,3942,1
10035,3942,1
558,3942,1
177,3942,1
177,3942,1
177,3942,1
9747,3942,1
1498,3942,1
4562,3942,1
10310,3942,1
471,3942,1
10458,3942,1
6699,3942,0
11880,3942,1
7093,3942,1
11655,3942,1
1020,4084,-1
2604,7937,1
3555,10884,1
3042,10884,1
777,4998,1
9817,10884,1
2105,10884,0
4998,8797,1
3555,4998,1
3817,4998,1
9817,4998,1
4148,4998,1
11750,8511,-1
2340,6303,1
5119,6303,-1
9817,6303,1
7365,6303,1
6390,6303,-1
777,6303,1
4148,6303,1
4998,6303,1
3555,6303,1
3824,6303,1
3817,6303,1
10458,1844,-1
11548,8991,1
4403,8991,1
10458,4337,-1
3419,4998,1
10458,777,0
10458,3817,-1
10362,6303,0
10458,6303,1
10458,7949,-1
11619,3817,1
177,3817,1
3419,3140,1
4763,4718,1
1020,4718,1
8614,4718,1
2604,4718,1
9747,4718,1
4998,4718,-1
4718,4718,-1
3419,6303,1
8175,1926,1
11619,9458,1
11619,6773,1
11619,2415,1
11619,7365,1
11619,3555,1
11619,3824,1
11619,4148,1
11619,11194,1
11619,11327,1
11619,4562,1
11619,777,1
11619,3817,1
11619,3328,1
9709,10904,0
10577,2519,-1
11153,5380,-1
9915,1500,0
7494,1500,1
7977,2105,-1
8624,9984,-1
4687,6959,1
1851,6959,0
9510,6959,-1
2601,6170,-1
4921,6959,1
3655,6959,1
1294,8175,0
4337,1294,0
10709,1294,0
7864,1294,-1
9915,1294,-1
6959,1294,-1
9704,6959,1
2888,6959,-1
8932,6959,1
11298,9984,-1
577,9984,-1
7247,9984,1
11514,9984,-1
9831,9984,-1
11655,9984,1
10746,9984,-1
1589,9984,-1
6536,9984,1
9984,6773,1
3138,9984,-1
9984,7987,0
8666,9984,-1
11302,9984,-1
3128,9984,-1
8845,9984,-1
8266,9984,-1
4921,2105,1
3277,2105,1
7266,2105,1
10458,2105,1
10391,3555,0
2105,11470,1
10391,11470,1
7977,10391,-1
11548,2105,1
177,2105,1
1498,2105,1
3154,9984,-1
2062,9984,1
1853,9984,1
8310,9984,-1
11976,9984,-1
2604,9984,-1
2888,551,1
1764,551,1
11785,551,1
6390,10391,-1
248,11470,1
11470,3555,-1
2888,2455,0
7628,11470,-1
558,1500,-1
1294,1500,1
3296,1500,1
5151,1500,-1
7109,1500,-1
4084,1500,0
7628,11617,-1
7628,10391,-1
7628,3555,-1
7113,6968,-1
4562,6968,0
11548,6968,1
1924,6968,1
11793,6968,1
9984,6968,1
7944,6968,1
6968,6968,-1
11548,11327,1
11548,1631,1
7628,3817,-1
512,3817,-1
248,3817,1
2105,3817,-1
10458,3817,1
3555,3817,0
7391,551,-1
551,8486,1
9876,551,-1
1068,551,-1
11163,551,-1
9749,551,-1
10568,551,-1
11070,551,-1
7628,2105,0
7266,2105,1
4403,1631,1
5963,1631,1
3328,1631,1
1465,1631,1
11793,1631,1
7937,1631,1
9458,1631,0
776,1631,1
10352,11379,1
9984,6019,1
6019,1631,1
11327,1631,0
6968,1631,0
7944,1631,0
11153,1631,0
9984,1631,1
4562,1631,1
10447,1631,-1
1911,1500,-1
3502,1500,0
690,1500,0
9505,1500,-1
6405,1500,-1
6958,1500,0
686,12028,0
5413,3817,1
3216,4500,1
5413,1500,0
8455,1500,0
2270,6968,1
11782,1204,-1
1085,1500,0
686,1500,0
6361,1500,0
2062,1500,-1
1583,1500,0
12079,1500,-1
5079,1500,-1
1402,1500,-1
5413,551,0
8932,551,1
3419,551,0
7987,11327,1
7922,11327,1
4763,11327,1
2415,11327,1
4562,11327,1
7113,11327,1
6996,1500,-1
10671,9984,-1
10671,9984,-1
4513,9984,-1
7163,4395,-1
6849,9984,1
5963,7987,-1
7113,4257,-1
2781,3817,1
6996,3352,-1
9574,3352,-1
5356,5380,1
11548,5380,1
11793,5380,1
4403,5380,0
2415,5380,1
9984,5380,1
7987,5380,1
7113,5380,1
3817,5424,1
7365,3042,-1
3555,7365,0
10391,7365,0
5356,2519,-1
5332,2519,-1
5104,2519,-1
9376,2519,-1
777,4828,1
3817,777,0
4148,777,0
3042,4148,-1
3555,4148,0
7365,4148,-1
11481,7772,0
7549,7772,-1
1631,5380,-1
4562,5380,1
2888,5380,-1
10447,5380,-1
1924,5380,1
3072,5380,1
4039,9817,1
10362,9817,-1
10362,3824,-1
9097,3824,0
7977,3824,0
3555,3824,1
3555,777,0
4764,2519,-1
9674,2519,-1
7569,7772,1
2755,7772,-1
11813,9817,1
177,9817,1
11619,9817,1
10035,9817,1
7266,9817,1
9097,10718,-1
1498,777,1
8388,7772,-1
9831,7772,-1
3619,3817,-1
7490,3817,-1
10362,3817,-1
7987,5964,0
6366,11907,-1
55,11907,1
4264,7306,0
4477,8175,-1
4477,6088,-1
7247,9817,1
1396,3817,1
1396,747,-1
2062,3817,1
4944,3817,1
4944,11548,1
3419,3817,1
7266,3817,1
10035,3817,1
7247,3817,1
3419,6959,1
9984,1516,1
5268,9984,-1
11782,9984,-1
4764,6791,1
4501,7099,1
2755,5964,0
9076,2551,1
5415,7944,1
6390,11617,0
2343,2132,-1
8275,2132,-1
10481,2132,-1
7864,2132,-1
8932,6390,1
8704,2132,-1
7773,6910,1
8455,6910,1
9376,6910,1
11596,6910,1
9849,6910,1
10458,6910,1
2888,10458,-1
11548,10458,-1
11782,2132,-1
5495,2132,-1
2318,2132,-1
5432,2132,-1
5558,2132,-1
6390,7977,-1
4074,8350,1
1023,94,-1
450,7944,1
7773,7944,1
10722,7944,-1
6773,7944,-1
5993,7977,-1
776,7944,-1
5437,7944,-1
11548,7944,1
177,7944,-1
7549,7944,-1
12079,11617,-1
9984,7944,1
4562,7944,1
7266,7944,1
7937,7944,0
1465,7944,1
10447,7944,-1
2132,7944,1
2402,10577,-1
2402,4395,-1
2402,94,-1
2402,11713,-1
2402,9312,-1
2402,1677,-1
8948,2402,1
2402,9849,-1
7987,7944,1
4501,10097,1
7569,10097,1
7773,10097,1
10458,10097,1
10097,6849,-1
6390,6873,0
5993,6390,0
282,6088,1
7864,11661,-1
10654,5964,-1
11254,5964,-1
4562,5964,-1
11548,5964,-1
4825,5964,-1
5963,5964,0
11548,5964,-1
9850,4756,1
6666,6088,0
6317,6088,-1
6088,9995,1
9959,6088,0
11303,6088,0
8175,6088,1
5177,6088,0
3059,6088,0
55,6088,1
4501,664,1
4501,219,1
4501,1810,1
4501,1291,1
4501,8455,1
4501,11596,1
4501,8932,1
4501,10497,1
4501,4084,1
2755,3434,-1
3419,2888,0
4501,9476,1
4501,4456,-1
4501,7569,1
4501,7864,0
4501,261,1
8545,6791,1
2431,6791,-1
9061,6791,1
3419,10877,1
567,6791,-1
9396,6791,-1
11481,6791,-1
9849,6791,1
3046,6791,1
3066,6791,1
3148,6791,-1
4763,6791,-1
3419,6791,1
248,9984,-1
5909,9096,1
9312,7864,1
3072,7944,0
7266,11617,1
5278,9984,-1
2031,9984,-1
664,9984,-1
11368,9984,-1
5125,9984,-1
7129,9984,-1
4756,9984,-1
3072,9984,-1
9842,9984,-1
8651,9984,-1
5298,9984,-1
9747,9984,-1
5720,9984,-1
177,9984,-1
8714,9984,-1
4603,9984,-1
6483,9984,-1
5399,9984,-1
5320,9984,-1
9984,11153,1
9984,11194,1
7292,9984,-1
9984,11267,1
4846,9984,-1
10434,9984,-1
766,9984,-1
4175,9984,-1
6800,9984,-1
10654,9984,-1
2755,9984,-1
11619,9984,-1
9423,9984,-1
4697,9984,-1
6034,9984,-1
8660,9984,-1
6071,9984,-1
1261,9984,-1
11254,6959,1
9984,2132,-1
9838,9984,-1
6064,9984,-1
3915,2132,1
10458,6773,1
10458,6820,1
7662,4925,-1
6996,3434,-1
11368,10458,-1
7937,5567,1
12041,7937,1
10548,7937,1
1583,7937,1
7287,7937,1
6361,7937,1
2474,7937,1
9984,7937,1
3072,7937,1
7773,7937,1
6849,7937,1
10722,7937,-1
5413,7937,1
11548,7937,1
10061,6185,1
11877,8692,-1
4504,1294,0
558,7937,1
597,7937,1
4535,7937,1
4186,7937,1
5320,7937,-1
9767,11368,1
11368,10497,-1
11368,590,-1
11368,3328,-1
1764,11217,0
177,10458,-1
9842,10458,-1
6996,10497,-1
6996,9636,-1
7662,6515,-1
7662,4687,-1
6996,6185,-1
6996,986,-1
11254,8541,-1
10987,11713,-1
1860,3513,-1
11880,11875,1
9704,11875,1
8717,11875,-1
11254,1085,-1
4355,11254,1
10458,5567,1
1465,7937,1
2065,3066,-1
6399,7109,1
10458,5964,1
10458,10576,1
10458,10100,1
10458,1211,1
10458,2579,1
10458,1228,1
10458,5963,1
4403,10458,-1
7113,10458,-1
8541,10458,-1
10458,7987,1
9849,7864,1
4513,7987,-1
11548,7987,0
10458,2415,1
10458,11845,1
10458,9458,1
10458,3328,1
10458,11153,1
11548,10458,-1
10458,8420,1
9062,10458,-1
4260,10458,-1
10458,5437,1
10458,5567,1
10458,11194,1
10458,317,1
10458,6581,1
1924,10458,-1
10458,2270,1
10458,10722,1
10458,11793,1
5413,317,1
5413,7987,1
5413,5437,1
5413,5963,1
5413,7113,1
5413,4403,1
5413,8541,1
5413,2579,1
10458,4562,1
10458,1516,1
10458,287,1
10458,9593,1
11973,10458,-1
10458,252,1
10458,10161,1
10458,6026,1
7569,2132,1
9577,2132,-1
12028,2132,0
10061,2132,1
7899,2132,1
9849,2132,1
6666,2132,-1
7186,2132,-1
4337,2132,0
55,2132,1
282,2132,1
11596,2132,1
11548,2132,-1
5262,2132,1
5413,10576,1
5413,10100,1
5413,6026,1
5413,1211,1
3692,2132,-1
1023,2132,-1
9915,2132,1
5177,2132,1
11661,2132,1
690,2132,1
1110,2132,1
2679,2132,1
1583,2132,1
8062,2132,1
11254,9984,-1
11548,4925,1
4264,9522,1
5678,9522,1
4337,1327,1
8796,9522,1
11655,9522,1
8627,9522,0
5339,9522,-1
5339,9522,1
1973,9522,1
1009,9522,1
8613,9522,0
6775,9522,1
7462,9522,1
7277,9522,-1
10990,9522,1
9704,9522,1
4687,9522,1
9584,9522,1
4869,9522,1
4702,9522,1
4186,9522,1
11910,9522,1
11943,9522,1
4603,9522,1
4603,9522,1
4603,9522,1
4603,9522,1
4603,9522,1
4603,9522,1
4603,9522,1
4535,9522,1
3340,9522,1
2611,9522,1
5278,9522,1
9522,7946,0
9522,7527,-1
8974,9522,1
4921,9522,1
2888,7109,1
6849,4260,1
5332,4260,1
1281,11750,-1
2888,11750,-1
11548,9984,-1
7939,9984,-1
6445,9984,-1
3419,6873,1
11254,6873,1
11548,2062,-1
11548,4460,0
6996,11254,-1
10458,2270,1
7826,6275,1
10849,6515,1
4925,6515,0
6996,94,-1
6996,9849,-1
6996,2343,1
6214,4925,1
4869,4925,0
4687,4925,1
4687,6275,1
2062,9636,0
3434,9984,-1
664,6593,1
8310,6275,1
11602,11254,1
11254,5993,0
9062,9984,-1
1272,9984,-1
11813,512,1
11813,6371,1
6849,11183,-1
3418,11183,-1
8196,5649,0
2340,839,-1
385,5732,0
3419,5262,-1
2126,11395,-1
4908,6019,-1
8449,2415,1
4098,2168,-1
10033,5432,1
1444,2168,-1
2062,2168,1
6361,5495,1
2402,11596,-1
10458,282,-1
6304,8945,-1
11782,2168,-1
5217,2517,-1
1598,282,-1
7826,11782,1
10458,1228,1
1023,55,-1
8175,282,1
10035,3935,1
4869,3328,1
10035,11153,-1
8600,5413,-1
10458,10751,1
9795,11153,-1
10447,7987,-1
10035,9984,-1
3915,8175,-1
7494,7402,0
10794,3328,-1
9433,11030,-1
6727,4869,-1
4921,11548,1
10911,11153,0
11619,11153,1
8288,776,-1
1213,11194,-1
7277,5750,0
10129,10917,-1
9747,9745,1
10458,3776,1
7569,2069,1
10044,6773,1
9076,1516,1
5298,1516,1
9747,3711,1
3915,7899,1
10292,282,-1
3158,3328,-1
5432,8984,-1
9061,5432,1
9709,2415,1
6247,2415,-1
3629,2415,1
9849,2415,1
5298,2415,1
177,2415,1
6304,2415,-1
2948,2415,1
5413,4750,1
11302,6019,-1
11302,6019,-1
4456,7899,1
7569,7899,-1
4764,10061,-1
10033,6019,1
7487,2415,1
1924,2415,-1
5356,2415,1
426,6019,-1
512,6019,-1
574,6019,-1
10376,6019,-1
9579,6019,-1
6304,6019,-1
12041,6019,1
7469,6019,-1
2909,6019,-1
175,6019,-1
8819,6019,-1
6933,6019,-1
4869,6019,-1
6008,6019,0
11880,6019,-1
1228,6019,-1
8635,6019,-1
2186,6019,-1
177,6019,-1
529,5432,1
9849,11782,1
9577,6019,1
5415,6019,1
10352,6019,1
2126,9849,-1
2126,450,-1
2126,2415,-1
2126,8666,-1
2126,3066,-1
2126,3262,-1
10577,2318,1
2126,8545,-1
2126,9061,-1
2126,5605,-1
2126,9423,-1
2126,12041,-1
2126,12028,-1
2126,5071,-1
2126,8984,-1
2126,6019,-1
1502,8817,-1
1281,8817,-1
4403,3896,-1
7502,2402,1
12028,2625,1
2126,4337,-1
2126,9786,-1
2126,11302,-1
2126,5413,-1
2126,11241,-1
2126,9312,-1
2126,8177,-1
7569,5262,-1
4355,5262,-1
7773,5262,1
4535,5262,-1
12028,5262,0
55,5262,0
11596,5262,-1
7899,5262,-1
10458,5262,1
10458,11194,1
9028,11548,1
9548,8666,1
6317,10292,-1
11548,3216,-1
11813,5399,1
7946,6398,1
4191,4417,-1
4191,5413,-1
10458,8541,1
2888,217,1
10458,1924,1
690,5262,-1
11378,8635,1
1327,9748,-1
2364,6398,-1
175,11802,-1
7456,123,1
597,11548,1
9028,4260,1
11013,5413,-1
7949,1327,1
10033,5399,1
9028,10760,1
597,3588,1
10458,2787,1
7939,4562,-1
5278,10722,1
5224,10722,-1
3915,282,-1
10129,8686,-1
55,282,0
804,3130,1
4292,4227,-1
8188,9054,1
881,2045,-1
8714,6371,1
1657,2416,-1
11619,8635,1
597,10044,1
519,3512,0
2431,5492,1
6958,9486,-1
4346,4039,1
881,10126,1
5415,1020,1
8614,8177,-1
4164,2553,-1
7773,4039,1
3277,1118,-1
4869,8124,-1
2905,11875,1
2845,10333,1
2126,2318,-1
597,12028,-1
9747,8062,-1
277,3066,-1
6958,8697,1
4611,4626,-1
7549,60,-1
8285,11198,-1
9376,8623,-1
10458,9193,1
9494,11877,1
11337,4299,-1
1023,12028,-1
7494,6849,1
690,5797,1
2888,5066,1
10458,5883,1
8285,1576,-1
5395,3933,-1
3262,2557,-1
8455,3074,0
6164,3818,1
1241,1468,-1
7832,10690,1
4780,9486,-1
11596,7864,1
7826,7402,-1
597,9786,-1
9312,261,1
4808,5523,-1
6774,11877,-1
10577,6383,0
8455,1980,1
3630,1784,1
10511,9704,-1
9941,4255,1
11655,6670,1
2810,2900,-1
6201,11106,-1
7502,6298,1
3095,4384,1
10458,11995,1
11782,7095,-1
1973,7969,0
12045,4941,1
7717,8001,-1
10458,6330,1
1233,9181,1
6138,3417,1
7773,1980,1
1066,10352,-1
9747,3417,1
8623,8635,1
5909,8514,-1
2888,8541,1
7773,6371,1
11619,6371,1
165,9909,0
8455,506,1
11257,118,-1
8282,8115,0
6803,8455,-1
248,10352,-1
10458,2318,1
10023,2632,-1
977,6673,1
11782,11570,-1
1023,4395,-1
10458,5406,-1
2093,9538,1
10923,8033,-1
7402,6383,1
4299,3655,1
977,12074,1
5432,6851,-1
9486,5847,1
1020,6980,1
6361,7864,1
1578,3993,-1
1652,10442,-1
5356,9909,1
11302,3066,-1
7247,4728,-1
7769,3586,-1
9376,10458,1
8310,7743,1
7773,6392,1
11880,102,-1
4650,7244,1
2031,4151,-1
3614,10317,0
9747,1922,-1
10458,6118,-1
4264,10378,1
7472,6304,-1
3760,2093,-1
9747,9838,1
4434,5068,1
5962,11395,-1
1914,9833,-1
4603,3758,-1
2789,11481,1
9826,2844,1
11602,9282,1
9061,10904,0
11782,3350,-1
261,10904,-1
4439,11910,-1
3944,8506,1
3095,7864,1
12040,9126,-1
1810,12028,-1
5104,7864,1
8455,7785,-1
4299,7549,1
177,8635,1
2623,3328,-1
10129,776,-1
6164,10129,1
4775,10196,-1
10458,4967,1
1576,7864,1
10458,7135,1
7773,1080,1
8455,4908,1
7502,1118,1
3419,8984,1
10458,8984,1
9089,4299,-1
5808,1924,-1
5356,858,1
9312,9054,1
9704,7956,1
4005,5432,1
7773,7135,1
7773,5101,1
11548,10196,-1
3277,9322,1
7502,1329,1
8196,5356,-1
3655,11548,0
1491,7658,-1
10409,12010,-1
5626,10129,1
11596,282,-1
1023,282,-1
5332,2168,1
177,2168,-1
86,2168,-1
11702,8945,-1
8984,2168,-1
881,2168,-1
3072,8945,0
10035,8425,1
9089,6119,-1
7864,8175,-1
261,2168,-1
558,10129,1
6190,10352,-1
5306,8845,-1
10537,3066,-1
9747,8635,1
4337,282,0
3915,261,1
7821,8717,1
4869,8666,-1
6996,1980,-1
4299,5432,1
11548,10129,1
4161,5589,1
6699,5901,-1
2905,1652,1
8900,1281,1
8398,2405,1
11813,9521,1
5634,1733,1
3288,11897,-1
11910,1354,1
177,8108,1
11481,6925,1
4292,8398,-1
10458,8148,0
1924,8607,-1
7093,11548,1
10458,3511,-1
9747,7949,-1
8887,7772,1
7864,1844,-1
7455,7235,-1
6849,7402,-1
7502,2132,-1
10035,6744,1
7785,8426,1
1281,6270,1
11880,9548,-1
10458,506,1
4919,3910,-1
2062,3910,-1
7402,3511,1
10035,9061,-1
807,4130,-1
11184,7611,0
4130,1272,1
2888,8613,-1
11481,3344,1
7402,7620,1
9028,9231,-1
4355,6220,-1
1457,5293,-1
3933,1044,0
7402,1980,1
11481,10782,-1
1576,450,1
2031,7076,-1
2031,7402,-1
3730,1096,1
7266,6483,1
9747,22,1
2888,3072,1
1281,8613,-1
7247,1439,1
11368,11880,-1
9747,765,1
10458,7773,1
1701,3419,1
9704,881,1
9747,881,1
2888,4535,1
558,4292,1
558,11880,-1
590,5413,-1
5356,7495,1
7344,7743,1
1842,777,1
7826,6167,-1
5413,7109,1
10044,9817,1
9076,2551,1
4603,1924,1
1596,1112,-1
7950,9236,1
11733,9283,1
7717,6538,-1
1237,6422,1
9729,4702,-1
1502,9480,1
9826,8901,1
9306,9892,-1
2900,9299,1
8427,2807,-1
5451,11712,1
1521,7832,1
2429,7087,1
2331,11096,1
4154,3411,1
6775,6254,1
9299,11785,1
6164,9974,1
10663,9521,1
1281,11749,1
7946,11785,1
10044,331,1
6361,6866,1
1521,11816,1
1658,2983,1
2807,10366,-1
4501,8813,1
693,3288,1
7302,7805,1
11880,5895,1
2583,5877,-1
9747,11407,1
1502,11879,1
10302,248,-1
3294,746,1
10238,10969,-1
5956,8180,1
2126,4562,-1
7302,2683,1
8415,11910,1
8086,3194,1
2126,1093,-1
1521,1963,1
2364,6316,1
6681,12018,1
9299,7097,-1
11880,2782,1
4921,2641,1
10911,2389,1
10299,6008,-1
9457,6395,1
7632,4098,1
6775,1357,1
9723,746,1
11096,11063,1
11655,9144,1
2340,4620,1
1009,8613,0
4009,6277,-1
8368,11128,-1
5382,10034,1
3095,6536,1
8086,1281,1
4416,616,-1
5768,8613,-1
9704,7721,1
684,9711,1
2367,6316,1
7942,10424,1
6316,2800,0
2126,9842,-1
8107,5665,1
11943,8981,1
672,7153,1
10546,11368,1
9299,4434,-1
3419,2888,1
177,1009,1
11943,7826,-1
4535,6919,1
5882,4434,-1
11368,5727,1
9704,8352,1
8415,4721,1
6254,6316,1
5416,11930,-1
2126,3148,-1
1009,3890,0
5298,1220,-1
3809,2702,-1
3419,8196,-1
5278,5210,1
1237,7826,-1
6387,3017,1
8974,4434,-1
11368,11488,1
6358,7456,-1
11876,4763,-1
4780,11441,1
10238,4434,-1
7965,11911,1
7965,8613,1
8455,1583,-1
558,3993,1
2031,7826,-1
8974,4053,1
248,6358,1
1460,6849,1
1564,4434,-1
1973,687,1
4014,10207,1
6949,622,-1
10769,6056,-1
4535,1728,1
7494,7922,-1
10299,3631,1
10663,3226,1
9795,6366,-1
169,6164,-1
1020,10710,1
8545,2402,1
7178,1305,-1
4489,3814,-1
1118,12010,-1
11368,11880,-1
7388,9969,1
10511,2483,-1
7762,4603,-1
10458,1713,1
169,6277,-1
4921,7743,1
5350,4344,1
4346,2587,1
9704,3674,1
8084,11552,-1
9944,2678,1
6361,8557,1
7001,7527,1
5198,10423,1
10277,6008,1
2873,4434,-1
9795,11630,1
7247,9226,1
11880,4434,-1
5727,131,-1
1022,6440,1
7762,8562,1
10498,4517,1
10458,2093,1
10458,11427,1
3368,8981,-1
8455,6405,1
9548,750,1
9850,8756,0
9850,152,1
10540,7769,1
6996,1452,1
5551,10519,1
8124,2331,-1
6996,1821,-1
4177,11182,0
2319,3081,1
10458,6405,1
6958,11373,-1
5638,10939,-1
7302,5556,1
511,9829,1
7949,1100,1
204,9984,-1
8107,184,1
6361,5473,-1
2031,9721,-1
11876,5882,-1
318,2481,1
2888,217,1
4839,2725,1
558,11880,-1
10044,8793,1
10035,9704,-1
4763,8455,1
7569,7502,-1
10110,5601,1
4084,7569,1
3419,6153,0
177,3557,-1
9118,11609,-1
10023,371,1
2888,4292,-1
5451,4292,0
5451,2678,-1
2900,11802,-1
558,7885,1
3072,765,1
12010,1478,1
6015,6304,1
4084,7271,-1
8600,2810,1
4921,2905,-1
9283,6681,-1
3296,7949,1
8188,11606,-1
10697,5673,-1
11655,11655,1
4920,3603,1
1291,3758,-1
2953,1234,-1
9849,11481,-1
5298,9918,-1
4151,261,1
6361,858,0
3072,10258,1
10382,10546,-1
5451,11702,-1
7266,11548,1
10458,1980,1
2905,2062,-1
1498,7163,-1
7940,7480,1
5882,4819,-1
1216,6501,-1
4344,8141,-1
10035,6996,-1
177,8108,-1
3072,11218,1
7785,12000,-1
11548,8251,1
690,8692,1
4764,1478,1
690,7076,1
11596,9637,1
11394,10352,-1
9439,227,-1
11548,60,-1
7402,11481,0
2431,6925,-1
10004,2725,-1
5579,5437,-1
7494,9598,-1
9704,1673,1
8614,3072,-1
1187,11782,1
7158,6791,-1
4603,1924,1
11880,8845,-1
6069,7993,1
11910,3979,1
506,11481,-1
4151,6119,1
10458,4384,1
2819,277,1
567,5473,-1
6296,794,-1
10654,3252,-1
5415,5473,-1
1170,9984,1
7455,6902,-1
2888,5462,-1
177,3346,1
11302,9744,1
9376,7901,-1
10458,11013,1
8455,5356,1
10458,3607,1
9747,9704,-1
558,1934,1
8714,8796,1
177,6371,1
1842,4925,1
6138,7662,1
10458,606,-1
2755,10458,-1
7402,10939,1
5298,3216,-1
2364,4200,-1
1281,3935,-1
7569,6201,1
10834,11368,-1
9376,9464,1
1941,558,-1
10458,5782,1
3655,4130,-1
5298,11875,1
511,9598,1
4039,8514,-1
4780,11877,1
597,8480,1
11596,339,0
10352,10923,-1
5356,9170,1
1860,6809,1
7878,60,-1
11198,5836,-1
10458,2416,0
10458,1770,1
2402,4133,-1
3419,2343,1
8285,4390,-1
10458,4487,1
10766,2903,-1
10063,10214,1
7418,3277,-1
6958,9538,1
1080,2542,1
3066,4373,-1
1023,4410,-1
10352,6461,1
7487,11106,-1
10271,181,1
7402,261,1
1066,6987,1
4084,5925,1
7494,10352,-1
6361,6851,1
5356,1044,-1
597,529,-1
4213,5984,-1
7494,7864,1
2031,9915,-1
10458,8635,1
1658,9747,-1
9349,9909,-1
1904,9584,-1
9915,2112,-1
3584,4373,-1
2819,1513,1
8285,11481,-1
12041,1327,-1
7939,6019,-1
5125,6019,-1
6996,6019,-1
7502,7785,1
3419,10170,1
3296,9850,1
8107,2493,1
7163,2132,-1
6469,2132,-1
6996,11713,-1
1327,1100,-1
11319,1100,-1
7826,4186,-1
9579,9512,-1
1652,9512,1
4337,1926,-1
10458,8175,-1
55,1926,1
10044,7402,-1
8997,78,-1
2340,473,-1
10362,4083,1
2973,7355,0
5352,6007,-1
11880,11977,-1
6777,1690,1
850,12040,0
2340,6660,-1
640,1337,1
4878,7206,-1
903,10910,1
3839,10272,1
11368,903,1
903,6031,-1
924,10027,1
7495,10027,1
6670,11881,1
11881,10027,-1
8069,7495,1
7100,7495,-1
3826,7495,-1
8538,722,-1
8268,1498,1
8268,6723,1
1498,1036,1
9289,6826,-1
6826,10199,1
6416,1558,-1
1930,6670,0
1930,10382,1
664,11084,-1
9831,11084,0
9842,8845,-1
4374,8612,-1
3839,7956,-1
3839,10685,1
4374,10910,-1
7602,11977,-1
4165,8538,1
10663,4165,1
1118,1498,1
5382,4309,-1
9842,11030,-1
5909,11030,1
9842,4103,-1
1904,10026,-1
1687,8935,-1
8644,8935,1
1652,8935,1
9871,8935,-1
9320,10064,-1
8107,7135,-1
8107,11044,1
8107,4088,-1
1396,558,1
3954,5535,-1
5651,7655,1
586,11591,0
1357,8744,1
4414,7206,1
4414,8905,-1
8905,7206,-1
11368,47,1
519,8612,1
10593,10596,-1
10593,1198,1
5068,3463,-1
10849,8935,1
10849,1036,1
4098,5503,-1
6670,10027,-1
6897,1281,-1
10973,8757,-1
1245,7956,1
10498,7956,0
11880,7956,-1
1897,7956,0
2483,7956,1
3212,7956,1
7567,4639,0
1851,6660,-1
2041,7956,1
831,10183,-1
11464,10183,-1
10183,675,1
2953,1525,-1
7602,11616,1
558,4309,-1
7266,8607,1
5278,3572,1
465,4798,1
9094,4798,1
1245,2845,1
1851,1441,-1
3368,2864,-1
5644,7531,-1
5626,3619,1
5818,496,1
5818,1897,-1
1930,8109,1
8931,10015,-1
8931,572,1
8931,141,1
3072,11030,-1
11030,8607,1
5298,11030,-1
4222,6660,-1
1914,4669,1
553,2864,1
9974,9480,1
3394,1532,-1
8703,2553,-1
5956,8538,1
850,8613,1
8613,9730,1
9651,8613,-1
2873,8613,1
11910,7956,-1
11910,1603,1
84,722,-1
3010,3150,-1
9463,3150,1
10302,3150,0
12037,9724,-1
9734,3619,1
11880,1690,1
6794,2960,1
4292,6648,1
6648,8169,-1
10935,6660,-1
10935,6648,-1
12048,107,1
11561,1142,1
519,12048,-1
9494,8417,1
6277,10323,1
10276,2845,-1
3212,10276,-1
7212,7308,1
12040,9677,1
12040,5357,0
6031,2032,-1
10685,2032,-1
11545,2032,-1
6031,2633,-1
10685,2633,-1
5438,2633,-1
2633,2032,-1
10596,2633,-1
496,558,-1
558,1525,-1
3229,558,1
2945,558,-1
10362,1440,1
8669,1440,-1
6008,8417,1
9795,1690,1
4164,11880,1
11616,2633,-1
7821,1491,1
8121,5383,-1
